tree_id,accession_number,common_name,scientific_name,additional_taxonomy,dbh,quantity,latitude,longitude,source,community_tag,memorial,age_class,condition_class,date_planted,date_inventoried,tree_asset_value
982,882-2022 U,Hawthorn,Crataegus sp.,,"3,3",,41.838457192,-87.624532016,Unknown,,,Semi- mature,Good,,,387.73
983,883-2022 U,Hornbeam-American,Carpinus caroliniana,,9,,41.838469997,-87.624391923,Unknown,,,Semi- mature,Good,,,1744.77
984,884-2022 U,Redbud-Eastern,Cercis canadensis,,"10,7,6,4,3,2",,41.838459095,-87.624175639,Unknown,,,Semi- mature,Good,,,4609.65
986,886-2022 U,Hawthorn,Crataegus sp.,,"3,2,2",,41.838472072,-87.624026388,Unknown,,,Semi- mature,Good,,,366.19
987,887-2022 U,Redbud-Eastern,Cercis canadensis,,"7,7,6,5",,41.838472685,-87.623931493,Unknown,,,Semi- mature,Good,,,3424.92
988,888-2022 U,Hawthorn,Crataegus sp.,,"4,3,3",,41.838499277,-87.623870894,Unknown,,,Semi- mature,Good,,,732.37
989,889-2022 U,Catalpa-Northern,Catalpa speciosa,,12,,41.838458519,-87.623810153,Unknown,,,Semi- mature,Good,,,3101.82
990,890-2022 U,Catalpa-Northern,Catalpa speciosa,,17,,41.838498225,-87.623757849,Unknown,,,Semi- mature,Good,,,6225.18
991,891-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,10,,41.838474647,-87.623655977,Unknown,,,Semi- mature,Good,,,2154.04
992,892-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,22,,41.840078604,-87.623592597,Unknown,,,Semi- mature,Good,,,7446.82
993,893-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,27,,41.839985869,-87.623607871,Unknown,,,Mature,Good,,,11216.39
994,894-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,26,,41.83987074,-87.623585529,Unknown,,,Mature,Good,,,10400.94
995,895-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,29,,41.839775286,-87.623589488,Unknown,,,Mature,Good,,,12939.63
996,896-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,25,,41.839366842,-87.623572931,Unknown,,,Semi- mature,Good,,,9616.25
997,897-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,21,,41.839251602,-87.623581416,Unknown,,,Semi- mature,Good,,,6785.23
998,898-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,26,,41.839153952,-87.623575159,Unknown,,,Mature,Good,,,10400.94
999,899-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,23,,41.839017222,-87.623575704,Unknown,,,Semi- mature,Good,,,8139.19
1000,900-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,26,,41.838838292,-87.623557815,Unknown,,,Mature,Good,,,10400.94
1001,901-2022 U,Ash-Green,Fraxinus pennsylvanica,,24,,41.83858648,-87.62690338,Unknown,,,Mature,Good,,,8862.34
1002,902-2022 U,Ash-Green,Fraxinus pennsylvanica,,26,,41.83897983,-87.62690392,Unknown,,,Mature,Good,,,14561.31
1003,903-2022 U,Ash-Green,Fraxinus pennsylvanica,,27,,41.8390727,-87.62691277,Unknown,,,Mature,Good,,,15702.95
1004,904-2022 U,Ash-Green,Fraxinus pennsylvanica,,27,,41.83919797,-87.6269041,Unknown,,,Mature,Fair,,,8011.71
1005,905-2022 U,Ash-Green,Fraxinus pennsylvanica,,27,,41.83938532,-87.62688035,Unknown,,,Mature,Good,,,11216.39
1006,906-2022 U,Ash-Green,Fraxinus pennsylvanica,,15,,41.83945285,-87.62698118,Unknown,,,Semi- mature,Good,,,3461.85
1007,907-2022 U,Elm-Siberian,Ulmus pumila,,16,,41.83944478,-87.62704922,Unknown,,,Semi- mature,Fair,,,2813.44
1008,908-2022 U,Elm-Siberian,Ulmus pumila,,18,,41.83945822,-87.62717017,Unknown,,,Semi- mature,Fair,,,4985.06
